Product and Variation Pricing Recommendations,,,,,,,,,,,,,
"Recommended pricing for products, variations, subscriptions, bulk-buy offers, and bundle roles. These are strategy recommendations that still need COGS/margin confirmation.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Product / Offer,Item Type,Audience,Current Price(s) Observed,Recommended Regular Price,Launch / Sale Recommendation,Subscription Recommendation,Bulk / Multipack Recommendation,Bundle Role,Competitor / Market Anchor,Reasoning / Marketing Tactic,Confidence,Source URLs / Notes,Final Check Needed
Age-Defying Night Serum,Product,Human,Current exports conflict: $60 main / $80 pet,$69.95,No default sale except routine bundles,Subscribe 10% at 60/90 days,2-pack 5% only after repeat-purchase validation,Anti-Aging Routine Bundle,Premium organic skincare examples show high willingness to pay for anti-aging routines and bundles,Use one unified price between the two legacy values. $69.95 protects premium positioning without carrying forward the confusing $60/$80 split.,High,https://www.dermstore.com/c/brands/eminence-organic-skin-care,Confirm bottle size and active ingredient claims.
Women's Restoring Face & Body Wash,Product,Human,Current exports: $39 main / $60 pet,$39.95,No default sale,Subscribe 10% at 60/90 days,2-pack 5%,Women’s Daily Repair Routine,Cleansers are routine entry products; price should not block first purchase,Use the lower/main-site level as the unified price. The wash should act as a gateway into the skincare routine.,High,Internal export pricing + routine ecommerce logic,Confirm bottle size.
Women's Microdermabrasion Scrub,Product,Human,Current exports: $39.95 main / $60 pet,$44.95,No default sale,Low subscription priority; 90-day reorder reminder,2-pack 5% after usage data,Anti-Aging Routine Bundle,"Scrubs are routine add-ons, not daily replenishment anchors",Price slightly above cleanser but below serum. It should improve routine AOV without feeling like a luxury barrier.,Medium,https://www.dermstore.com/c/brands/eminence-organic-skin-care,Confirm jar size and recommended usage frequency.
Men's Face & Body Moisturizer,Product family + variations,Human / Men,"Current exports: 4oz $40, 8oz $60",4oz $39.95 | 8oz $59.95,No default sale,Subscribe 10% at 60/90 days,2-pack 5%; 8oz Best Value,Men’s Core Grooming Kit,Men’s grooming routines sell best when simple and practical,"Keep the clean ladder. Men’s product pages should make the routine easy, not overly cosmetic.",High,Internal export pricing + market positioning,Confirm packaging and formula differences from women’s moisturizer.
Men's Face & Body Wash + Shave Cream,Product,Human / Men,Current exports conflict: $39.95 main / $60 pet,$39.95,No default sale,Subscribe 10% at 60/90 days,2-pack 5%,Men’s Core Grooming Kit,Dual-use products reduce decision friction and fit subscription routines,Use the lower/main-site level. The value proposition is strong because it doubles as shave cream.,High,Internal export pricing,Confirm bottle size.
Men's Anti-Aging Night Serum,Product,Human / Men,Current exports conflict: $60 main / $80 pet,$69.95,No default sale,Subscribe 10% at 60/90 days,2-pack 5% after repeat data,Men’s Core Grooming Kit,"Serum is the men’s premium step, mirroring the women’s anti-aging serum",Unify at the same serum price as the women’s serum for internal consistency.,Medium,https://www.dermstore.com/c/brands/eminence-organic-skin-care,Confirm formula equivalency and size.
Men's Microdermabrasion Scrub,Product,Human / Men,Current exports: $39.95 main / $60 pet,$44.95,No default sale,Low subscription priority; reorder reminder only,2-pack 5% after usage data,Men’s Shave Prep / Grooming Kit,Men’s grooming add-ons should support the shaving/prep story,"Same price as women’s scrub. Position as periodic routine step, not daily use.",Medium,Internal export pricing + routine logic,Confirm claims around shaving/ingrown-hair language.
Men's Shampoo,Product,Human / Men,Current exports: $30,$29.95,No default sale,Subscribe 10% at 60/90 days,2-pack 5%; shampoo+conditioner duo $54.95,Men’s Hair Duo,Hair care is a classic replenishment category,Keep current price but make duo/subscription obvious.,High,Internal export pricing,Confirm bottle size and anti-dandruff/thinning-hair claim language.
Men's Conditioner,Product,Human / Men,Current exports: $30,$29.95,No default sale,Subscribe 10% at 60/90 days,2-pack 5%; shampoo+conditioner duo $54.95,Men’s Hair Duo,Pairing shampoo and conditioner increases attachment rate,Match shampoo price to reduce friction.,High,Internal export pricing,Confirm bottle size.
Manuka Honey Shampoo,Product,Human,Current exports: $30,$29.95,No default sale,Subscribe 10% at 60/90 days,2-pack 5%; shampoo+conditioner duo $54.95,Human Hair Care Duo,Routine hair care can support auto-ship and simple duo offers,Keep current price and build value through ingredient story.,High,Internal export pricing,Confirm whether this is unisex or women’s line.
Manuka Honey Conditioner,Product,Human,Current exports: $30,$29.95,No default sale,Subscribe 10% at 60/90 days,2-pack 5%; shampoo+conditioner duo $54.95,Human Hair Care Duo,Pairs naturally with shampoo,Match shampoo price and merchandise as a set.,High,Internal export pricing,Confirm bottle size.
Gentle Baby Face & Body Wash,Product,Baby,Current exports conflict: $39.95 main / $60 pet,$39.95,No default sale,Subscribe 10% at 60/90 days,2-pack 5%,Baby Bath + Skin Care Duo,Baby wash should be trusted and approachable,Use the lower/main-site level; baby category should feel premium but not intimidating.,High,https://www.target.com/p/earth-mama-organics-diaper-balm-2-fl-oz/-/A-11878977,Confirm bottle size and baby-safe claims.
Soothing Baby Diaper Rash + Skin Care Cream,Product family + variations,Baby,"Current exports: 2oz $30, 4oz $40, 8oz $60",2oz $24.95 | 4oz $39.95 | 8oz $59.95,No default sale,Subscribe 10% at 30/60/90 days,2-pack 5%; 8oz home-size value,Baby Bath + Skin Care Duo,"Natural/organic diaper balm competitors are often lower priced, but ResQ can use Manuka/premium story","Lower the trial size to make first purchase easier, keep 4oz/8oz premium. Size naming should be parent-friendly: diaper bag / nursery / home size.",High,https://www.target.com/p/earth-mama-organics-diaper-balm-2-fl-oz/-/A-11878977,"Confirm whether zinc oxide, active ingredients, or cosmetics/drug rules apply."
Full Spectrum CBD Oil,CBD product family + strengths/flavors,Human CBD,Current exports: 300mg $39 sale $25; 500mg $89; 1000mg $149; 1500mg $169,300mg $39.95 | 500mg $84.95 | 1000mg $149.95 | 1500mg $169.95,Use launch sale only on 300mg trial; avoid permanent discount ladder,"Subscribe 10%, cap at 15% unless margin confirms",2-bottle same-strength 5%,CBD Daily Wellness Bundle,Charlotte’s Web and Lazarus show heavy use of CBD subscriptions/bundles; pricing varies by strength and brand trust,Normalize across flavors. Keep higher-strength premium but make price per mg visible so the value ladder is obvious.,High,https://www.charlottesweb.com/collections/thc-free | https://www.lazarusnaturals.com/collections/topicals,"CBD compliance, COAs, and state rules need review."
CBD Gummies,CBD product,Human CBD,Current exports conflict: $49 main / $79 pet,$49.95,No default sale,Subscribe 10% monthly,2-pack $89.95 | 3-pack $129.95,CBD Wellness Routine / gummies multipack,Charlotte’s Web gummies commonly start around $34.99-$49.99 and bundles around $149.97,Use the lower/main-site price to stay competitive. The pet-export $79 price is likely too high relative to visible market anchors.,High,https://www.charlottesweb.com/collections/thc-free,"Confirm count, mg per gummy, and cannabinoid profile."
Sleep Gummies,CBD/CBN product,Human CBD,Current exports: $69,$59.95,No default sale,Subscribe 10% monthly,2-pack $109.95 | 3-pack $159.95,CBD Night Routine,Charlotte’s Web Stay Asleep CBN gummies are shown from $34.99 and sleep/CBD gummies are frequently bundled,"Keep premium over regular gummies because CBN adds specialty value, but avoid drifting too far above mainstream sleep gummy anchors.",Medium,https://www.charlottesweb.com/collections/thc-free,Avoid medical sleep claims; confirm count and mg.
CBD Intensive Relief Rub,CBD topical,Human CBD,Current exports: $79,$69.95,No default sale,Subscribe 10% at 60/90 days,Buy 2 save 5%; topical 3rd-item discount only if margin supports,CBD Relief Routine,Lazarus topicals promote buy-more-save-more; Charlotte’s Web topicals range near $24.99-$29.99 for lower/other formats,"This is a high-mg topical, so premium pricing is reasonable, but the current $79 should be tested against conversion and price-per-mg perception.",Medium,https://www.lazarusnaturals.com/collections/topicals | https://www.charlottesweb.com/collections/thc-free,"Confirm mg, size, and topical compliance language."
CBD Bath Bombs,CBD product + scent variations,Human CBD,Current exports: $19.95 each,$19.95 each,No default sale,Low subscription priority; replenishment reminder only,3-pack $54.95 | 5-pack $84.95 | 8-pack $129.95,Self-care / gift variety pack,Bath bombs are ideal variety-pack and gift-add-on products,Keep single price; use multi-pack to increase AOV. Scent variations should not require unique pricing unless COGS differs.,High,Internal export pricing + bundling logic,Confirm scent list and whether CBD mg varies.
Weight Control Softgels,CBD/THCv specialty,Human CBD,Current exports: $79,$79.95,No default sale until compliance reviewed,Subscribe 10% monthly if compliant,2-pack 5% after margin and claim review,CBD Wellness Routine only after compliance review,Specialty cannabinoid products carry higher price tolerance but also higher claim risk,Keep premium but conservative. Do not lead with weight-loss claims until compliance review.,Low,https://www.charlottesweb.com/collections/thc-free,Highest claim-risk SKU; legal/regulatory review needed.
