Type,SKU,Name,Published,"Regular price",Categories,"Short description",Parent,"Attribute 1 name","Attribute 1 value(s)"
variation,RQ-BABY-CREAM-2OZ,"Soothing Baby Diaper Rash + Skin Care Cream",1,24.95,,,RQ-BABY-CREAM,Size,2oz
variation,RQ-BABY-CREAM-4OZ,"Soothing Baby Diaper Rash + Skin Care Cream",1,39.95,,,RQ-BABY-CREAM,Size,4oz
variation,RQ-BABY-CREAM-8OZ,"Soothing Baby Diaper Rash + Skin Care Cream",1,59.95,,,RQ-BABY-CREAM,Size,8oz
variable,RQ-PET-SKINCREAM,"Pet Skin Treatment Cream",1,29.95,"Topical Skin Care","Topical skin & paw support",,,
variation,RQ-PET-SKINCREAM-2OZ,"Pet Skin Treatment Cream",1,29.95,,,RQ-PET-SKINCREAM,Size,2oz
variation,RQ-PET-SKINCREAM-4OZ,"Pet Skin Treatment Cream",1,39.95,,,RQ-PET-SKINCREAM,Size,4oz
variation,RQ-PET-SKINCREAM-8OZ,"Pet Skin Treatment Cream",1,59.95,,,RQ-PET-SKINCREAM,Size,8oz
variable,RQ-PET-HORSECREAM,"Horse Skin Care Treatment Cream",1,39.95,"Topical Skin Care > Horse & Large Animal Care","Rain rot & large-area support",,,
variation,RQ-PET-HORSECREAM-4OZ,"Horse Skin Care Treatment Cream",1,39.95,,,RQ-PET-HORSECREAM,Size,4oz
variation,RQ-PET-HORSECREAM-8OZ,"Horse Skin Care Treatment Cream",1,59.95,,,RQ-PET-HORSECREAM,Size,8oz
simple,RQ-PET-SHAMPOO,"All-Natural Manuka Honey Pet Shampoo",1,29.95,"Coat & Grooming","Coat cleanse & allergen flush",,,
simple,RQ-PET-CONDITIONER,"Manuka Honey Pet Conditioner",1,29.95,"Coat & Grooming","High-slip coat support",,,
simple,RQ-PET-DIABETIC-TREATS,"Diabetic Dog Treats",1,19.95,"Pet Treats & Diabetic Care","Low-glycemic treat option",,,
variable,RQ-PCBD-OIL,"Pet CBD Hemp Oil",1,39.95,"CBD & Calming Oils","Strength by dog size",,,
variation,RQ-PCBD-OIL-300MG,"Pet CBD Hemp Oil",1,39.95,,,RQ-PCBD-OIL,Strength,300mg
variation,RQ-PCBD-OIL-500MG,"Pet CBD Hemp Oil",1,84.95,,,RQ-PCBD-OIL,Strength,500mg
variation,RQ-PCBD-OIL-1000MG,"Pet CBD Hemp Oil",1,149.95,,,RQ-PCBD-OIL,Strength,1000mg
variable,RQ-PCBD-TREATS,"CBD-Infused Organic Dog Treats",1,26.95,"CBD & Calming Oils > Pet Treats & Diabetic Care","Treat-format calm support",,,
variation,RQ-PCBD-TREATS-2MG,"CBD-Infused Organic Dog Treats",1,26.95,,,RQ-PCBD-TREATS,Strength,2mg
variation,RQ-PCBD-TREATS-5MG,"CBD-Infused Organic Dog Treats",1,31.95,,,RQ-PCBD-TREATS,Strength,5mg
variable,RQ-HCBD-OIL,"Full Spectrum CBD Oil",1,39.95,"CBD & Wellness","Strength & flavor selector",,,
variation,RQ-HCBD-OIL-300MG,"Full Spectrum CBD Oil",1,39.95,,,RQ-HCBD-OIL,Strength,300mg
variation,RQ-HCBD-OIL-500MG,"Full Spectrum CBD Oil",1,84.95,,,RQ-HCBD-OIL,Strength,500mg
variation,RQ-HCBD-OIL-1000MG,"Full Spectrum CBD Oil",1,149.95,,,RQ-HCBD-OIL,Strength,1000mg
variation,RQ-HCBD-OIL-1500MG,"Full Spectrum CBD Oil",1,169.95,,,RQ-HCBD-OIL,Strength,1500mg
simple,RQ-HCBD-GUMMIES,"CBD Gummies",1,49.95,"CBD & Wellness","Daily wellness gummies",,,
simple,RQ-HCBD-SLEEPGUMMIES,"Sleep Gummies — 10mg CBN & 25mg CBD",1,59.95,"CBD & Wellness","Nighttime routine gummies",,,
simple,RQ-HCBD-RUB,"CBD Intensive Relief Rub — 2000mg",1,69.95,"CBD & Wellness","Localized topical comfort",,,
variable,RQ-HCBD-BATHBOMB,"CBD Bath Bomb",1,19.95,"CBD & Wellness","Self-care scent selector",,,
variation,RQ-HCBD-BATHBOMB-LAV,"CBD Bath Bomb",1,19.95,,,RQ-HCBD-BATHBOMB,Scent,Lavender
variation,RQ-HCBD-BATHBOMB-EUC,"CBD Bath Bomb",1,19.95,,,RQ-HCBD-BATHBOMB,Scent,Eucalyptus
variation,RQ-HCBD-BATHBOMB-CIT,"CBD Bath Bomb",1,19.95,,,RQ-HCBD-BATHBOMB,Scent,Citrus
variation,RQ-HCBD-BATHBOMB-UNS,"CBD Bath Bomb",1,19.95,,,RQ-HCBD-BATHBOMB,Scent,Unscented
simple,RQ-HCBD-SOFTGELS,"Weight Control Softgels — CBD & THCv",1,79.95,"CBD & Wellness","Specialty cannabinoid softgels",,,
simple,RQ-KIT-PET-HOTSPOT,"Pet Hot Spot Rescue Kit",1,89.95,"Bundles & Savings",,,,
simple,RQ-DUO-PET-COAT,"Pet Coat Care Duo",1,54.95,"Bundles & Savings",,,,
simple,RQ-KIT-PCBD-CALM-500,"Canine Calm Starter Kit — 500mg",1,104.95,"Bundles & Savings",,,,
simple,RQ-KIT-PCBD-CALM-1000,"Canine Calm Starter Kit — 1000mg",1,164.95,"Bundles & Savings",,,,
simple,RQ-KIT-PET-SENIOR,"Senior Dog Comfort Bundle",1,129.95,"Bundles & Savings",,,,
simple,RQ-KIT-HORSE-SKIN,"Horse Skin & Coat Care Kit",1,99.95,"Bundles & Savings",,,,
simple,RQ-KIT-HUM-WOMENS,"Women's Daily Repair Routine",1,134.95,"Bundles & Savings",,,,
simple,RQ-KIT-HUM-ANTIAGING,"Anti-Aging Routine Bundle",1,139.95,"Bundles & Savings",,,,
simple,RQ-KIT-HUM-WOMENS-STARTER,"Women's Sensitive Skin Starter Set",1,69.95,"Bundles & Savings",,,,
simple,RQ-KIT-HUM-MENS,"Men's Core Grooming Kit",1,134.95,"Bundles & Savings",,,,
simple,RQ-KIT-HUM-MENS-ELITE,"Men's Elite Grooming Routine",1,169.95,"Bundles & Savings",,,,
simple,RQ-DUO-HUM-MENSHAIR,"Men's Hair Duo",1,54.95,"Bundles & Savings",,,,
simple,RQ-DUO-HUM-HAIR,"Manuka Hair Care Duo",1,54.95,"Bundles & Savings",,,,
simple,RQ-DUO-BABY-BATH,"Baby Bath + Skin Care Duo",1,72.95,"Bundles & Savings",,,,
simple,RQ-KIT-HCBD-NIGHT,"CBD Night Routine",1,72.95,"Bundles & Savings",,,,
simple,RQ-KIT-HCBD-RELIEF,"CBD Relief Routine",1,79.95,"Bundles & Savings",,,,
simple,RQ-KIT-HCBD-DAILY,"CBD Daily Wellness Bundle",1,119.95,"Bundles & Savings",,,,
simple,RQ-PK-HCBD-BATH-3,"CBD Bath Bomb Variety 3-Pack",1,54.95,"Bundles & Savings",,,,
simple,RQ-PK-HCBD-BATH-5,"CBD Bath Bomb Variety 5-Pack",1,84.95,"Bundles & Savings",,,,
simple,RQ-PK-HCBD-GUMMIES-2,"CBD Gummies 2-Pack",1,89.95,"Bundles & Savings",,,,
simple,RQ-PK-HCBD-GUMMIES-3,"CBD Gummies 3-Pack",1,129.95,"Bundles & Savings",,,,
simple,RQ-PK-PET-DIABETIC-2,"Diabetic Dog Treats 2-Pack",1,36.95,"Bundles & Savings",,,,
simple,RQ-PK-PET-DIABETIC-3,"Diabetic Dog Treats 3-Pack",1,52.95,"Bundles & Savings",,,,
